////////////////////////////////////////////////////////////////////////////////
// Text GS 1.00.18
// Version 1.04
// Translated - by Endi
// Eventitembag13
//Rings Warrior
////////////////////////////////////////////////////////////////////////////////
//    | type | index | level | skill | option |      
	0	3	0	1	1	1
	0	5	0	1	1	1
	0	9	0	1	1	1
	0	10	0	1	1	1
	0	13	0	1	1	1
	3	8	0	1	1	1
	4	4	0	1	1	1
	4	9	0	1	1	1
	4	11	0	1	1	1
	4	5	0	1	1	1
	4	12	0	1	1	1
	5	0	0	1	1	1
	5	2	0	1	1	1
	5	3	0	1	1	1
	5	4	0	1	1	1
	7	0	0	1	1	1
	7	2	0	1	1	1
	7	4	0	1	1	1
	7	5	0	1	1	1
	7	6	0	1	1	1
	7	7	0	1	1	1
	7	8	0	1	1	1
	7	10	0	1	1	1
	7	11	0	1	1	1
	7	12	0	1	1	1
	8	0	0	1	1	1
	8	2	0	1	1	1
	8	4	0	1	1	1
	8	5	0	1	1	1
	8	6	0	1	1	1
	8	7	0	1	1	1
	8	8	0	1	1	1
	8	10	0	1	1	1
	8	11	0	1	1	1
	8	12	0	1	1	1
	9	0	0	1	1	1
	9	2	0	1	1	1
	9	4	0	1	1	1
	9	5	0	1	1	1
	9	6	0	1	1	1
	9	7	0	1	1	1
	9	8	0	1	1	1
	9	10	0	1	1	1
	9	11	0	1	1	1
	9	12	0	1	1	1
	10	0	0	1	1	1
	10	2	0	1	1	1
	10	4	0	1	1	1
	10	5	0	1	1	1
	10	6	0	1	1	1
	10	7	0	1	1	1
	10	8	0	1	1	1
	10	10	0	1	1	1
	10	11	0	1	1	1
	10	12	0	1	1	1
	11	0	0	1	1	1
	11	2	0	1	1	1
	11	4	0	1	1	1
	11	5	0	1	1	1
	11	6	0	1	1	1
	11	7	0	1	1	1
	11	8	0	1	1	1
	11	10	0	1	1	1
	11	11	0	1	1	1
	11	12	0	1	1	1
