//#############################################################################################################
//Drop Settings: Salupan Boss Drops
//www.darksideofmu.com
//#############################################################################################################

//=============================================================================================================
//ItemDropRate	 	- Drop rate of item VS Zen [x/100]
//ExRate		- Drop rate of excellent item [x/1000]
//=============================================================================================================
//	EventName		DropZen		NA	NA 	NA 	  NA 		ItemDropRate	ExRate
//=============================================================================================================
1	
	"SalupanBossDrop"	20000000	0	0	 0	  0		30		300
end

//=============================================================================================================
//Type			- Item.TXT index (section) of the Box
//Index 		- Item.TXT id of the Item
//minLvl		- Minimal Level of the Item (+1, +2 etc...)
//maxLvl		- Maximum Level of the Item (+1, +2 etc...)
//Skill			- Drop Item with Skill (0 - off,1 - on)
//Luck			- Drop Item with Luck (0 - off,1 - on)
//maxZ28		- Maximum Z28 option (1 = +4, 2 = +8, 3 = +12, etc...)
//maxExOpt		- Maximum number of Exc option in item
//=============================================================================================================
//	Type	Index	minLvl	maxLvl	Skill	Luck	maxZ28	maxExOpt		
//=============================================================================================================
2
	5	12	0	4	1	1	3	2	
	5	13	0	4	1	1	3	2
	0	22	0	4	1	1	3	2
	0	24	0	4	1	1	3	2
	4	21	0	4	1	1	3	2
	4	22	0	4	1	1	3	2
	0	23	0	4	1	1	3	2
	0	25	0	4	1	1	3	2
	2	14	0	4	1	1	3	2
	2	15	0	4	1	1	3	2
	7	34	0	4	1	1	3	2
	8	34	0	4	1	1	3	2
	9	34	0	4	1	1	3	2
	10	34	0	4	1	1	3	2
	11	34	0	4	1	1	3	2
	7	35	0	4	1	1	3	2
	8	35	0	4	1	1	3	2
	9	35	0	4	1	1	3	2
	10	35	0	4	1	1	3	2
	11	35	0	4	1	1	3	2
	7	36	0	4	1	1	3	2
	8	36	0	4	1	1	3	2
	9	36	0	4	1	1	3	2
	10	36	0	4	1	1	3	2
	11	36	0	4	1	1	3	2
	8	37	0	4	1	1	3	2
	9	37	0	4	1	1	3	2
	10	37	0	4	1	1	3	2
	11	37	0	4	1	1	3	2
	7	38	0	4	1	1	3	2
	8	38	0	4	1	1	3	2
	9	38	0	4	1	1	3	2
	10	38	0	4	1	1	3	2
	11	38	0	4	1	1	3	2
	7	44	0	4	1	1	3	2
	8	44	0	4	1	1	3	2
	9	44	0	4	1	1	3	2
	10	44	0	4	1	1	3	2
	11	44	0	4	1	1	3	2

end
